Platform id,Platform name,Investment name,Sec id,Management type,Asset class,Investment type,Base currency,Management description,Growth proportion,Redemption period,Performance fee description,Investment description,Pds url,Fund manager,Fund issuer,Date requested,Date added,Backfill series ticker,Backfill series name,Entry fee,Exit fee,Management fee,Rebate,Total expense ratio,Admin fee,Action fee description,Requested by,Date removed,Exchange,Manager Full name,Manager Email,Manager Website,Manager Description,Issuer Full name,Issuer Email,Issuer Website,Issuer Description
ABACUS5,Harbour NZ Corporate Bond Fund,Harbour NZ Corporate Bond Fund,F0AUS07371,Managed Funds,New Zealand fixed interest,Open-End Fund,NZD,"Passive - Tight mandate, macro analysis, not micro.",0.0,1,No Fee,The Fund provides access to favourable income yields through a diversified portfolio of primarily investment grade corporate bond fixed interest securities.,https://www.harbourasset.co.nz/our-funds/,Harbour,Harbour,2020-12-01 00:00:00,2021-01-01 00:00:00,BFS_ABACUS5,Backfill: Harbour Corporate Bond Fund,0,0,0.0045,0.0022,0.0022999999999999995,,,,,,Harbour Asset Management Ltd,contactus@harbourasset.co.nz,www.harbourasset.co.nz,An experienced New Zealand based investment manager with more than NZD 7 billion in assets under management.,Harbour Asset Management Ltd,contactus@harbourasset.co.nz,www.harbourasset.co.nz,An experienced New Zealand based investment manager with more than NZD 7 billion in assets under management.
AUDCash,Australian Dollar (AUD),Australian Dollar,,Direct bonds and term deposits,Cash and cash equivalents,Currency,NZD,,0.0,,,Held with ANZ Bank New Zealand.,,,,2020-12-01 00:00:00,2021-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,
CADCash,Canadian Dollar (CAD),Canadian Dollar,,Direct bonds and term deposits,Cash and cash equivalents,Currency,NZD,,0.0,,,Held with ANZ Bank New Zealand.,,,,2020-12-01 00:00:00,2021-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,
CHFCash,Swiss Franc (CHF),Swiss Franc,,Direct bonds and term deposits,Cash and cash equivalents,Currency,NZD,,0.0,,,Held with ANZ Bank New Zealand.,,,,2020-12-01 00:00:00,2021-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,
DFA0001,Dimensional Five-Year Diversified FI NZD,Dimensional Five-Year Diversified Fixed Interest Trust (NZD),F00000T0HH,Managed Funds,International fixed interest,Open-End Fund,NZD,Hybrid - index and tilts,0.0,7,,"The Trust may suit those investors seeking a liquid, low risk, diversified portfolio that provides exposure to the returns of short-term global fixed interest securities.",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0005,0.0005,0.0028,,0.0028,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0003.AU,Dimensional Australian Core Equity Trust,Dimensional Australian Core Equity Trust,F0AUS06U3H,Managed Funds,Australasian equities,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,The Trust may suit those investors seeking exposure to a diversified portfolio of securities listed in Australia with the potential for long-term capital growth. Investors in this Trust will be exposed to share market volatility.,https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.0008,0.0008,0.0028,,0.0028,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0004.AU,Dimensional Global Core Equity Trust,Dimensional Global Core Equity Trust (Unhedged),F0AUS06YSK,Managed Funds,International equities,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,The Trust may suit those investors seeking exposure to a diversified portfolio of securities listed on global developed markets (excluding Australia) with the potential for long-term capital growth. Investors in this Trust will be exposed to share market volatility.,https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.001,0.001,0.0036,,0.0036,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0005.AU,Dimensional Global Real Estate Trust,Dimensional Global Real Estate Trust (Unhedged),F0AUS071LI,Managed Funds,Listed property,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,The Trust may suit those investors seeking exposure to a diversified portfolio of real estate securities listed on developed markets (including Australia) and emerging markets with the potential for long-term capital growth. Investors in this Trust will be exposed to share market volatility.,https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.001,0.001,0.0037,,0.0037,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0028.AU,Dimensional Global Bond Trust AUD,Dimensional Global Bond Trust (AUD class),F00000N4JG,Managed Funds,International fixed interest,Open-End Fund,AUD,Hybrid - index and tilts,0.0,7,,"The Trust may suit those investors seeking a liquid, diversified portfolio that provides exposure to the returns of global fixed interest securities. Dimensional's fixed interest portfolios are based on dimensions of expected return that have been identified by academic research.",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.001,0.001,0.0034999999999999996,,0.0034999999999999996,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
DFA0038,Dimensional Global Bond Trust NZD,Dimensional Global Bond Trust (NZD),F00000T7O2,Managed Funds,International fixed interest,Open-End Fund,NZD,Hybrid - index and tilts,0.0,7,,"The Trust may suit those investors seeking a liquid, diversified portfolio that provides exposure to the returns of global fixed interest securities. Dimensional's fixed interest portfolios are based on dimensions of expected return that have been identified by academic research.",https://au.dimensional.com/funds,DFA Australia,DFA Australia,2020-12-01 00:00:00,2021-01-01 00:00:00,,,0.001,0.001,0.0035,,0.0035,,,,,,Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally.",Dimensional Fund Advisors (Australia),,www.au.dimensional.com,"Founded in 1981, utilising research from Nobel laureates, Dimensional manages over USD 1.3 trillion globally."
